1,1574.1
4,1585.8
5,1588.1
6,1574
7,1555.9
8,1555.5
11,1482
12,1519.6
13,1549.8
14,1545.8
15,1557.7
19,1567.8
20,1583.4
21,1577.9
22,1582.5
25,1578.3
26,1562.2
27,1586.5
28,1609.1
29,1624.5
32,1640.1
33,1654.2
34,1663.5
35,1692.2
36,1675.5
39,1699.9
40,1692.3
41,1709
42,1702.9
43,1709.4
47,1721
48,1702.8
49,1723.9
50,1731.8
53,1744.2
54,1755.8
55,1746.8
56,1766.7
57,1778
60,1778.7
61,1749
62,1750.5
63,1714.6
64,1722.6
67,1747.9
68,1741.6
69,1756
70,1763.7
71,1775
74,1779.4
75,1787.9
76,1772.7
77,1789.6
78,1803.3
81,1784.9
82,1796.8
83,1837.6
84,1822.2
85,1837.1
88,1823.8
89,1823.5
90,1838.2
91,1848
92,1857.3
95,1859.2
96,1823.5
97,1801.1
98,1814.5
102,1824.1
103,1825.4
104,1852.9
105,1857.3
106,1854.5
109,1869
110,1895
111,1907.5
112,1913.1
113,1878.6
116,1869
117,1842.5
118,1837.2
119,1868.1
120,1871.8
123,1880.1
124,1876.3
125,1872.6
126,1858.4
127,1832.2
130,1870
131,1847.4
132,1869.8
133,1857.8
134,1869.4
137,1838.5
138,1840.6
139,1850.2
140,1834.5
141,1810.8
145,1813.5
146,1759.6
147,1782.8
148,1800.3
151,1770.4
152,1757.9
153,1771.2
154,1753.3
155,1772.9
158,1783.5
159,1787.7
160,1791.3
161,1776.6
162,1748.5
165,1726.6
166,1728.7
167,1762.2
168,1776.3
169,1783.6
172,1782.6
173,1813.2
174,1858.4
175,1886.3
176,1865.3
179,1880.6
180,1882.7
181,1904.2
182,1908.8
186,1898.6
187,1912.3
188,1909.4
189,1935.6
190,1939
193,1948.3
194,1972.7
195,1974.6
196,2000.9
197,2005.6
200,2013.5
201,2018.5
202,1969.1
203,1970.8
204,1947.9
207,1916.3
208,1931.8
209,1908.3
210,1897
211,1920.1
214,1869.7
215,1863.8
216,1790.2
217,1777.9
218,1842.5
221,1847.2
222,1801.7
223,1809.7
224,1820.5
225,1815.7
228,1784.9
229,1826.9
230,1872.4
231,1835.1
232,1816.5
235,1803.8
236,1807.1
237,1776.9
238,1742.1
239,1690.1
242,1646.8
243,1509
244,1590
245,1572.4
246,1586.3
250,1566.5
251,1658.5
252,1624.5
253,1599.8
256,1660.3
257,1658.7
258,1684
259,1646.2
260,1658.1
263,1630.1
264,1693.5
265,1711.7
266,1753.2
267,1705.5
270,1757.9
271,1745.4
272,1716.7
273,1663.3
274,1609.4
277,1591.2
278,1570.5
279,1504.6
280,1420.9
281,1447.3
284,1528.5
285,1541.1
286,1502.2
287,1541.8
288,1625.2
291,1618.1
292,1661.8
293,1657.8
294,1672
295,1699.2
298,1706.2
299,1740.8
300,1710.3
301,1735
302,1768.7
305,1783.7
306,1798.3
307,1807.9
308,1812.7
309,1834.8
312,1857.7
313,1859.2
314,1888.2
315,1853.2
316,1843.7
319,1868.4
320,1857.6
321,1878.3
322,1904
323,1935.7
326,1937.8
327,1972.9
328,1973.6
